,genres,title,release_date,id,developer,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
88366,"Indie, Strategy",DEFCON,2006-09-29,1520,Introversion Software,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
88367,"Action, Indie, RPG",The Ship: Single Player,2006-11-20,2420,Outerlight Ltd.,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
88368,"Indie, Simulation",Garry's Mod,2006-11-29,4000,Facepunch Studios,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
88369,Racing,RACE - The WTCC Game,2006-11-24,4230,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88370,"Casual, Indie",Zen of Sudoku,2006-12-14,4900,Unknown Worlds Entertainment,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88371,"Casual, Indie",Gumboy - Crazy Adventures™,2006-12-19,2520,"CINEMAX, s.r.o.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88372,Strategy,Ghost Master®,2003-08-23,6200,Sick Puppies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88373,Strategy,Vegas: Make It Big™,2006-12-21,6210,Deepred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88374,"Adventure, RPG",Dreamfall: The Longest Journey,2006-04-17,6300,Funcom,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88375,Racing,FlatOut 2™,2006-08-01,2990,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88376,Racing,FlatOut,2005-07-12,6220,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88377,"Action, Adventure",Lost Planet™: Extreme Condition,2007-06-26,6510,"CAPCOM Co., Ltd.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88378,Strategy,CivCity: Rome,2006-07-24,3980,"FireFly Studios,Firaxis Games",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88379,RPG,Arx Fatalis,2002-11-12,1700,Arkane Studios,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88380,"Action, Adventure, RPG",The Longest Journey,2000-11-17,6310,Funcom,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88381,Strategy,Civilization IV®: Warlords,2006-07-24,3990,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88382,Strategy,Railroad Tycoon 3,2003-10-23,7610,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88383,Strategy,Sid Meier's Railroads!,2006-10-16,7600,"Firaxis Games,Feral Interactive (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88385,Strategy,Railroad Tycoon II Platinum,1998-10-31,7620,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88387,Strategy,X-COM: Terror From the Deep,1995-04-01,7650,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88388,"Action, Adventure",Tomb Raider: Anniversary,2007-06-05,8000,"Crystal Dynamics,Feral Interactive (Mac)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88389,Action,Devil May Cry® 3 Special Edition,2006-05-23,6550,"CAPCOM Co., Ltd.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88390,"Action, Adventure",Sam &amp; Max 101: Culture Shock,2006-10-17,8200,Telltale Games,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88391,Action,Final DOOM,1996-06-17,2290,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88393,"Action, Adventure",Sam &amp; Max 102: Situation: Comedy,2006-12-20,8210,Telltale Games,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88394,Action,Ultimate Doom,1995-04-30,2280,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88395,Action,Master Levels for Doom II,1995-06-01,9160,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88396,Action,DOOM II,1994-05-05,2300,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88397,Action,Wolfenstein 3D,1994-08-03,2270,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88398,Action,Return to Castle Wolfenstein,2001-11-20,9010,Gray Matter Studios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88399,Action,QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,9040,Ritual Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88400,Action,Spear of Destiny,1993-10-10,9000,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88401,Action,BloodRayne,2003-09-09,3810,Terminal Reality,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88402,Action,QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,9030,Rogue Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88403,Action,QUAKE,2007-05-31,2310,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88404,Strategy,Genesis Rising,2007-03-20,3230,Metamorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88405,Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,9310,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88406,"Action, RPG",BioShock™,2007-08-21,7670,"2K Boston,2K Australia",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88407,Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,4570,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88408,Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,4580,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88409,Strategy,Rome: Total War™ - Collection,2004-09-22,4760,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88410,Strategy,Rome: Total War™ - Alexander,2006-06-26,4770,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88411,Casual,Mystery Case Files: Madame Fate®,2007-12-14,50970,Big Fish Games,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88414,Action,Manhunt,2004-04-20,12130,Rockstar North,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88415,Racing,Midnight Club 2,2003-07-01,12160,Rockstar San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88416,Action,Max Payne 2: The Fall of Max Payne,2003-10-14,12150,Remedy Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88417,"Action, Adventure",Tomb Raider: Legend,2006-04-07,7000,Crystal Dynamics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88418,Action,Max Payne,2001-07-25,12140,Remedy Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88419,Strategy,Command &amp; Conquer: Red Alert 3,2008-10-28,17480,EA Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88420,Casual,PuzzleQuest: Challenge of the Warlords,2007-10-10,12500,Infinite Interactive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88421,"RPG, Casual, Adventure",Culpa Innata,2007-10-23,12310,Momentum Digital Media Technologies,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88422,Strategy,Prison Tycoon 3™: Lockdown,2007-08-01,12510,"Gamebryo,Virtual Playground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88423,"Action, Adventure, Strategy",Hunting Unlimited™ 2008,2007-09-01,12530,SCS Software,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88424,Racing,18 Wheels of Steel: American Long Haul,2007-12-03,12520,SCS Software,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88425,Action,Conflict: Denied Ops,2008-02-08,8100,Pivotal Games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88426,Action,ARMA: Combat Operations,2007-05-08,2780,Bohemia Interactive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88428,Action,Desperados 2: Cooper's Revenge,2006-05-02,9710,Spellbound,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88429,"Action, Adventure",Death to Spies,2007-10-16,9800,Haggard Games,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88430,Action,Act of War: High Treason,2006-05-30,9760,Eugen Systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88431,"Simulation, Strategy",RollerCoaster Tycoon® 3: Platinum,2006-10-26,2700,"Frontier,Aspyr (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
88432,Action,Act of War: Direct Action,2005-03-14,2710,Eugen Systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88433,Action,Unreal 2: The Awakening,2003-02-03,13200,"Epic Games, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88434,Action,Unreal Gold,1998-04-30,13250,"Epic Games, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88435,"Casual, Indie",Ninja Reflex: Steamworks Edition,2008-03-21,13000,Sanzaru Games,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88436,Action,Tom Clancy's Splinter Cell®,2003-02-18,13560,Ubisoft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88437,Action,Far Cry®,2004-03-23,13520,Crytek Studios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88438,Action,Unreal Tournament: Game of the Year Edition,2000-10-25,13240,"Epic Games, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88439,Action,Tom Clancy's Rainbow Six® Vegas,2006-12-12,13540,Ubisoft Montreal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88440,Simulation,Silent Hunter® III,2005-03-15,15210,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88441,"Casual, Simulation",Virtual Villagers - The Secret City,2008-05-28,16180,Last Day of Work,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88442,Casual,Mystery P.I.™ - The Vegas Heist,2008-06-04,3520,SpinTop Games,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88443,Casual,Luxor,2008-06-10,15970,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88444,Casual,Reaxxion,2008-06-10,15950,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88445,Casual,Little Farm,2008-06-10,15960,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88446,Casual,7 Wonders II,2008-06-10,15900,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88447,Casual,Luxor Amun Rising,2005-12-08,15910,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88448,Casual,Luxor 3,2007-11-13,15930,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88449,Simulation,Petz® Horsez® 2,2007-11-13,15160,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88450,Casual,Luxor 2,2005-12-08,15920,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88451,"Action, Adventure",Rayman Raving Rabbids™,2007-03-27,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88452,Simulation,Silent Hunter®: Wolves of the Pacific,2007-03-20,15200,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88453,Simulation,IL-2 Sturmovik: 1946,2006-12-15,15320,1C: Maddox Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88454,Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,15240,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88455,Adventure,Bone: Out From Boneville,2005-09-15,8310,Telltale Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88456,Racing,Midnight Outlaw: 6 Hours to SunUp,2005-07-02,12600,"Merscom,Babylon",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88457,Adventure,Bone: The Great Cow Race,2006-04-12,8320,Telltale Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88458,Racing,Sprint Cars Road to Knoxville,2008-07-29,12590,BigAnt Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88460,Simulation,Ride! Carnival Tycoon,2007-07-02,12560,Gabriel Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88462,Casual,Mahjongg Investigations: Under Suspicion,2007-08-08,12540,Zemnott,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88463,Adventure,Dracula Origin,2008-05-20,11050,Frogwares,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88465,"Adventure, RPG",Sherlock Holmes - Nemesis,2008-04-14,11040,Frogwares,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88466,"Adventure, Indie",Eternity's Child,2008-07-31,19500,"Luc Bernard,SilverSphereStudios",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88467,"Simulation, Strategy",Pacific Storm Allies,2007-05-25,11260,Lesta Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
88468,"Action, Indie",Tank Universal,2008-08-21,19200,Dialogue Design,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88469,Racing,FlatOut: Ultimate Carnage,2008-08-19,12360,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88470,Adventure,Oddworld: Abe's Exoddus®,1998-11-17,15710,Oddworld Inhabitants,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88471,Adventure,Oddworld: Abe's Oddysee®,1997-12-12,15700,Oddworld Inhabitants,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88472,Racing,GTR Evolution Expansion Pack for RACE 07,2008-09-01,8660,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88473,Strategy,X-COM: Enforcer,2001-04-19,7770,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88474,Strategy,X-COM: Apocalypse,1997-07-15,7660,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88475,Strategy,X-COM: UFO Defense,1993-12-31,7760,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88476,"Action, RPG",S.T.A.L.K.E.R.: Clear Sky,2008-09-15,20510,GSC Game World,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88477,Action,Crysis Warhead®,2008-09-17,17330,Crytek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88478,Action,Crysis,2007-11-13,17300,Crytek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88479,Strategy,X-COM: Interceptor,1998-06-15,7730,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88480,"Action, RPG",The Witcher: Enhanced Edition Director's Cut,2008-09-16,20900,CD PROJEKT RED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88481,Indie,Multiwinia,2008-09-19,1530,Introversion Software,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88482,Racing,STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,8690,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88483,"Strategy, Simulation",Children of the Nile: Alexandria,2008-08-28,17120,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
88484,Strategy,Sid Meier's Civilization IV: Colonization,2008-09-23,16810,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88485,Action,Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,19830,"Red Storm Entertainment,Ubisoft Montreal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88486,"Action, Adventure",LEGO Batman,2008-09-29,21000,Traveller's Tales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88487,"Simulation, Strategy",City Life 2008,2008-07-18,4460,Monte Cristo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
88488,"RPG, Strategy",Hinterland,2008-09-30,17140,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
88489,Action,Brothers in Arms: Hell's Highway™,2008-10-08,15390,Gearbox Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88490,"Indie, Casual",Gravitron 2,2008-08-31,21300,Dark Castle Software,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88491,Racing,Xpand Rally Xtreme,2006-12-01,3050,Techland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88492,Strategy,Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,15380,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88493,Action,Brothers in Arms: Earned in Blood™,2005-10-04,19800,Gearbox Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88494,Strategy,Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,15370,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88495,Strategy,The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19930,Blue Byte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88496,Casual,Brain Spa,2007-09-25,15350,Ubisoft,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88497,Action,The Sum of All Fears,2002-05-31,19810,Red Storm Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88498,Casual,Peggle™ Nights,2008-10-15,3540,"PopCap Games, Inc.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88499,Indie,World of Goo,2008-10-13,22000,2D BOY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88500,"Action, Simulation, Strategy",X3: Terran Conflict,2008-10-16,2820,Egosoft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
88501,Action,Mare Nostrum,2008-10-17,1230,Sandstorm Productions,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88502,"Casual, Indie",Spectraball,2008-10-20,18300,Shorebound Studios,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88503,"Indie, Casual, Sports",Galactic Bowling,2008-10-21,20200,Perpetual FX Creative,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
